order_id,item_id,product_id,quantity,list_price,discount,Extraction_Date,source,extracted_at,data_source,customer_id,store_id,staff_id,order_date,shipped_date,order_status,local_price,brand_id,category_id,total_price,order_date_id,shipped_date_id
1,2,8,2,1799.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,259.0,1.0,2.0,2016-01-01,2016-01-03,4.0,85388.40801732,9,6,170776.81603464,1.0,3.0
1,5,4,1,2899.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,259.0,1.0,2.0,2016-01-01,2016-01-03,4.0,137570.50281732,9,6,137570.50281732,1.0,3.0
3,1,3,1,999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,523.0,2.0,7.0,2016-01-02,2016-01-03,4.0,47437.79361732,8,6,47437.79361732,2.0,3.0
4,1,2,2,749.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,175.0,1.0,3.0,2016-01-03,2016-01-05,4.0,35578.226617320004,5,6,71156.45323464001,3.0,5.0
6,4,3,2,999.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,94.0,2.0,6.0,2016-01-04,2016-01-05,4.0,47437.79361732,8,6,94875.58723464,4.0,5.0
6,5,9,2,2999.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,94.0,2.0,6.0,2016-01-04,2016-01-05,4.0,142314.32961731998,9,5,284628.65923463996,4.0,5.0
7,2,3,1,999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,324.0,2.0,6.0,2016-01-04,2016-01-05,4.0,47437.79361732,8,6,47437.79361732,4.0,5.0
9,1,7,2,3999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,60.0,1.0,2.0,2016-01-05,2016-01-08,4.0,189752.59761732,9,6,379505.19523464,5.0,7.0
11,1,8,1,1799.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1326.0,2.0,7.0,2016-01-05,2016-01-07,4.0,85388.40801732,9,6,85388.40801732,5.0,681.0
12,1,4,2,2899.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,91.0,1.0,2.0,2016-01-06,2016-01-09,4.0,137570.50281732,9,6,275141.00563464,6.0,8.0
14,1,6,1,469.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,258.0,1.0,3.0,2016-01-09,2016-01-12,4.0,22295.51157732,8,6,22295.51157732,8.0,9.0
15,2,8,1,1799.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,450.0,2.0,7.0,2016-01-09,2016-01-12,4.0,85388.40801732,9,6,85388.40801732,8.0,9.0
16,1,8,1,1799.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,552.0,1.0,3.0,2016-01-12,2016-01-15,4.0,85388.40801732,9,6,85388.40801732,9.0,11.0
17,1,8,1,1799.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1175.0,1.0,3.0,2016-01-12,2016-01-14,4.0,85388.40801732,9,6,85388.40801732,9.0,10.0
17,3,5,1,1320.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1175.0,1.0,3.0,2016-01-12,2016-01-14,4.0,62665.47764532,3,6,62665.47764532,9.0,10.0
18,1,2,2,749.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,541.0,1.0,3.0,2016-01-14,2016-01-15,4.0,35578.226617320004,5,6,71156.45323464001,10.0,11.0
18,3,7,1,3999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,541.0,1.0,3.0,2016-01-14,2016-01-15,4.0,189752.59761732,9,6,189752.59761732,10.0,11.0
18,5,9,2,2999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,541.0,1.0,3.0,2016-01-14,2016-01-15,4.0,142314.32961731998,9,5,284628.65923463996,10.0,11.0
19,2,9,2,2999.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,696.0,1.0,2.0,2016-01-14,2016-01-16,4.0,142314.32961731998,9,5,284628.65923463996,10.0,12.0
20,1,9,1,2999.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,923.0,1.0,2.0,2016-01-14,2016-01-17,4.0,142314.32961731998,9,5,142314.32961731998,10.0,684.0
23,1,4,2,2899.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1149.0,1.0,2.0,2016-01-16,2016-01-19,4.0,137570.50281732,9,6,275141.00563464,12.0,14.0
24,1,3,2,999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,636.0,2.0,7.0,2016-01-18,2016-01-19,4.0,47437.79361732,8,6,94875.58723464,13.0,14.0
26,1,7,1,3999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1280.0,2.0,7.0,2016-01-18,2016-01-19,4.0,189752.59761732,9,6,189752.59761732,13.0,14.0
26,2,2,1,749.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1280.0,2.0,7.0,2016-01-18,2016-01-19,4.0,35578.226617320004,5,6,35578.226617320004,13.0,14.0
27,1,5,1,1320.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,57.0,2.0,7.0,2016-01-19,2016-01-20,4.0,62665.47764532,3,6,62665.47764532,14.0,15.0
27,4,8,1,1799.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,57.0,2.0,7.0,2016-01-19,2016-01-20,4.0,85388.40801732,9,6,85388.40801732,14.0,15.0
28,1,5,1,1320.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,252.0,2.0,6.0,2016-01-19,2016-01-21,4.0,62665.47764532,3,6,62665.47764532,14.0,16.0
28,2,7,2,3999.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,252.0,2.0,6.0,2016-01-19,2016-01-21,4.0,189752.59761732,9,6,379505.19523464,14.0,16.0
28,4,6,1,469.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,252.0,2.0,6.0,2016-01-19,2016-01-21,4.0,22295.51157732,8,6,22295.51157732,14.0,16.0
29,2,6,1,469.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,437.0,2.0,6.0,2016-01-20,2016-01-21,4.0,22295.51157732,8,6,22295.51157732,15.0,16.0
29,4,8,1,1799.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,437.0,2.0,6.0,2016-01-20,2016-01-21,4.0,85388.40801732,9,6,85388.40801732,15.0,16.0
30,4,4,1,2899.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1348.0,2.0,6.0,2016-01-20,2016-01-21,4.0,137570.50281732,9,6,137570.50281732,15.0,16.0
30,5,7,2,3999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1348.0,2.0,6.0,2016-01-20,2016-01-21,4.0,189752.59761732,9,6,379505.19523464,15.0,16.0
31,2,9,2,2999.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1238.0,3.0,8.0,2016-01-20,2016-01-22,4.0,142314.32961731998,9,5,284628.65923463996,15.0,17.0
32,1,8,2,1799.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1259.0,1.0,3.0,2016-01-21,2016-01-22,4.0,85388.40801732,9,6,170776.81603464,16.0,17.0
33,2,7,1,3999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,236.0,2.0,6.0,2016-01-21,2016-01-22,4.0,189752.59761732,9,6,189752.59761732,16.0,17.0
34,1,8,2,1799.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,80.0,2.0,6.0,2016-01-22,2016-01-23,4.0,85388.40801732,9,6,170776.81603464,17.0,18.0
35,3,5,1,1320.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,813.0,2.0,7.0,2016-01-22,2016-01-24,4.0,62665.47764532,3,6,62665.47764532,17.0,685.0
36,1,9,1,2999.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1321.0,2.0,6.0,2016-01-23,2016-01-24,4.0,142314.32961731998,9,5,142314.32961731998,18.0,685.0
36,2,5,1,1320.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1321.0,2.0,6.0,2016-01-23,2016-01-24,4.0,62665.47764532,3,6,62665.47764532,18.0,685.0
36,3,3,2,999.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1321.0,2.0,6.0,2016-01-23,2016-01-24,4.0,47437.79361732,8,6,94875.58723464,18.0,685.0
38,1,7,2,3999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,583.0,2.0,7.0,2016-01-25,2016-01-26,4.0,189752.59761732,9,6,379505.19523464,19.0,686.0
39,3,3,2,999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1296.0,2.0,7.0,2016-01-25,2016-01-26,4.0,47437.79361732,8,6,94875.58723464,19.0,686.0
40,2,8,2,1799.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,348.0,1.0,3.0,2016-01-27,2016-01-29,4.0,85388.40801732,9,6,170776.81603464,20.0,22.0
41,1,5,1,1320.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,979.0,2.0,6.0,2016-01-27,2016-01-29,4.0,62665.47764532,3,6,62665.47764532,20.0,22.0
44,1,7,1,3999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,861.0,2.0,7.0,2016-01-28,2016-01-30,4.0,189752.59761732,9,6,189752.59761732,21.0,23.0
45,1,4,2,2899.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1220.0,2.0,7.0,2016-01-28,2016-01-31,4.0,137570.50281732,9,6,275141.00563464,21.0,24.0
47,1,6,1,469.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1234.0,2.0,7.0,2016-01-29,2016-01-31,4.0,22295.51157732,8,6,22295.51157732,22.0,24.0
48,2,4,1,2899.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1012.0,2.0,7.0,2016-01-30,2016-02-02,4.0,137570.50281732,9,6,137570.50281732,23.0,687.0
48,3,5,2,1320.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1012.0,2.0,7.0,2016-01-30,2016-02-02,4.0,62665.47764532,3,6,125330.95529064,23.0,687.0
50,1,3,1,999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,872.0,3.0,8.0,2016-01-31,2016-02-02,4.0,47437.79361732,8,6,47437.79361732,24.0,687.0
53,1,8,2,1799.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,965.0,2.0,6.0,2016-02-03,2016-02-05,4.0,85388.40801732,9,6,170776.81603464,26.0,28.0
54,2,3,1,999.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,535.0,2.0,7.0,2016-02-04,2016-02-07,4.0,47437.79361732,8,6,47437.79361732,27.0,30.0
59,2,2,1,749.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,563.0,2.0,7.0,2016-02-05,2016-02-06,4.0,35578.226617320004,5,6,35578.226617320004,28.0,29.0
60,2,4,1,2899.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,151.0,1.0,3.0,2016-02-06,2016-02-07,4.0,137570.50281732,9,6,137570.50281732,29.0,30.0
61,3,5,2,1320.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,277.0,2.0,7.0,2016-02-06,2016-02-09,4.0,62665.47764532,3,6,125330.95529064,29.0,32.0
62,2,8,2,1799.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,208.0,1.0,2.0,2016-02-07,2016-02-10,4.0,85388.40801732,9,6,170776.81603464,30.0,33.0
63,3,3,1,999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1075.0,2.0,7.0,2016-02-07,2016-02-09,4.0,47437.79361732,8,6,47437.79361732,30.0,32.0
66,1,2,1,749.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1253.0,2.0,7.0,2016-02-09,2016-02-12,4.0,35578.226617320004,5,6,35578.226617320004,32.0,35.0
67,4,5,2,1320.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,526.0,3.0,8.0,2016-02-09,2016-02-10,4.0,62665.47764532,3,6,125330.95529064,32.0,33.0
69,2,5,1,1320.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1413.0,2.0,7.0,2016-02-10,2016-02-11,4.0,62665.47764532,3,6,62665.47764532,33.0,34.0
70,1,3,2,999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,,,,,,,47437.79361732,8,6,94875.58723464,,
73,3,3,2,999.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,612.0,2.0,7.0,2016-02-12,2016-02-14,4.0,47437.79361732,8,6,94875.58723464,35.0,37.0
74,2,6,1,469.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,264.0,2.0,7.0,2016-02-13,2016-02-15,4.0,22295.51157732,8,6,22295.51157732,36.0,688.0
75,1,3,1,999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,587.0,2.0,6.0,2016-02-14,2016-02-17,4.0,47437.79361732,8,6,47437.79361732,37.0,39.0
75,2,7,2,3999.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,587.0,2.0,6.0,2016-02-14,2016-02-17,4.0,189752.59761732,9,6,379505.19523464,37.0,39.0
76,3,5,1,1320.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,,,,,,,62665.47764532,3,6,62665.47764532,,
79,1,9,2,2999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,529.0,1.0,3.0,2016-02-17,2016-02-20,4.0,142314.32961731998,9,5,284628.65923463996,39.0,42.0
79,3,6,1,469.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,529.0,1.0,3.0,2016-02-17,2016-02-20,4.0,22295.51157732,8,6,22295.51157732,39.0,42.0
83,2,3,2,999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,393.0,1.0,3.0,2016-02-19,2016-02-20,4.0,47437.79361732,8,6,94875.58723464,41.0,42.0
85,1,4,2,2899.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1174.0,2.0,7.0,2016-02-20,2016-02-21,4.0,137570.50281732,9,6,275141.00563464,42.0,43.0
86,1,9,2,2999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,276.0,2.0,7.0,2016-02-21,2016-02-23,4.0,142314.32961731998,9,5,284628.65923463996,43.0,44.0
88,2,8,2,1799.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1069.0,2.0,6.0,2016-02-21,2016-02-23,4.0,85388.40801732,9,6,170776.81603464,43.0,44.0
88,3,7,1,3999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv,1069.0,2.0,6.0,2016-02-21,2016-02-23,4.0,189752.59761732,9,6,189752.59761732,43.0,44.0
