order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,Extraction_Date,source,extracted_at,data_source
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
8,1204,4,2016-01-04,2016-01-05,2016-01-05,2,7,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
9,60,4,2016-01-05,2016-01-08,2016-01-08,1,2,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
10,442,4,2016-01-05,2016-01-06,2016-01-06,2,6,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
11,1326,4,2016-01-05,2016-01-08,2016-01-07,2,7,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
12,91,4,2016-01-06,2016-01-08,2016-01-09,1,2,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,1714563448.0212574,SQL-Server,2025-12-01T00:39:47.978004+00:00,MySQL:orders
