order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,Extraction_Date,source,extracted_at,data_source
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
8,1204,4,2016-01-04,2016-01-05,2016-01-05,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
9,60,4,2016-01-05,2016-01-08,2016-01-08,1,2,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
10,442,4,2016-01-05,2016-01-06,2016-01-06,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
11,1326,4,2016-01-05,2016-01-08,2016-01-07,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
12,91,4,2016-01-06,2016-01-08,2016-01-09,1,2,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
57,1305,4,2016-02-04,2016-02-06,2016-02-06,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
58,504,4,2016-02-05,2016-02-07,2016-02-07,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
59,563,4,2016-02-05,2016-02-07,2016-02-06,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
60,151,4,2016-02-06,2016-02-08,2016-02-07,1,3,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
61,277,4,2016-02-06,2016-02-09,2016-02-09,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
62,208,4,2016-02-07,2016-02-10,2016-02-10,1,2,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
63,1075,4,2016-02-07,2016-02-09,2016-02-09,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
66,1253,4,2016-02-09,2016-02-12,2016-02-12,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
67,526,4,2016-02-09,2016-02-11,2016-02-10,3,8,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
71,797,4,2016-02-11,2016-02-14,2016-02-12,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
72,1386,4,2016-02-12,2016-02-15,2016-02-13,1,2,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
73,612,4,2016-02-12,2016-02-15,2016-02-14,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
74,264,4,2016-02-13,2016-02-15,2016-02-15,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
75,587,4,2016-02-14,2016-02-15,2016-02-17,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
78,1182,4,2016-02-16,2016-02-18,2016-02-19,2,7,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
79,529,4,2016-02-17,2016-02-20,2016-02-20,1,3,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
80,397,4,2016-02-17,2016-02-20,2016-02-19,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
81,521,4,2016-02-17,2016-02-19,2016-02-18,2,6,1714563448.0212574,SQL-Server,2025-12-01T02:39:49.101699,orders.csv
