order_id,item_id,product_id,quantity,list_price,discount,Extraction_Date,source,extracted_at,data_source
1.0,2,b'8',2,1799.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
1.0,5,b'4',1,2899.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
3.0,1,b'3',1,999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
4.0,1,b'2',2,749.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
6.0,4,b'3',2,999.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
6.0,5,b'9',2,2999.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
7.0,2,b'3',1,999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
9.0,1,b'7',2,3999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
11.0,1,b'8',1,1799.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
12.0,1,b'4',2,2899.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
14.0,1,b'6',1,469.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
15.0,2,b'8',1,1799.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
16.0,1,b'8',1,1799.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
17.0,1,b'8',1,1799.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
17.0,3,b'5',1,1320.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
18.0,1,b'2',2,749.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
18.0,3,b'7',1,3999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
18.0,5,b'9',2,2999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
19.0,2,b'9',2,2999.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
20.0,1,b'9',1,2999.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
23.0,1,b'4',2,2899.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
24.0,1,b'3',2,999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
26.0,1,b'7',1,3999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
26.0,2,b'2',1,749.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
27.0,1,b'5',1,1320.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
27.0,4,b'8',1,1799.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
28.0,1,b'5',1,1320.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
28.0,2,b'7',2,3999.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
28.0,4,b'6',1,469.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
29.0,2,b'6',1,469.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
29.0,4,b'8',1,1799.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
30.0,4,b'4',1,2899.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
30.0,5,b'7',2,3999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
31.0,2,b'9',2,2999.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
32.0,1,b'8',2,1799.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
33.0,2,b'7',1,3999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
34.0,1,b'8',2,1799.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
35.0,3,b'5',1,1320.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
36.0,1,b'9',1,2999.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
36.0,2,b'5',1,1320.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
36.0,3,b'3',2,999.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
38.0,1,b'7',2,3999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
39.0,3,b'3',2,999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
40.0,2,b'8',2,1799.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
41.0,1,b'5',1,1320.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
44.0,1,b'7',1,3999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
45.0,1,b'4',2,2899.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
47.0,1,b'6',1,469.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
48.0,2,b'4',1,2899.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
48.0,3,b'5',2,1320.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
50.0,1,b'3',1,999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
53.0,1,b'8',2,1799.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
54.0,2,b'3',1,999.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
59.0,2,b'2',1,749.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
60.0,2,b'4',1,2899.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
61.0,3,b'5',2,1320.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
62.0,2,b'8',2,1799.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
63.0,3,b'3',1,999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
66.0,1,b'2',1,749.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
67.0,4,b'5',2,1320.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
69.0,2,b'5',1,1320.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
70.0,1,b'3',2,999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
73.0,3,b'3',2,999.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
74.0,2,b'6',1,469.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
75.0,1,b'3',1,999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
75.0,2,b'7',2,3999.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
76.0,3,b'5',1,1320.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
79.0,1,b'9',2,2999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
79.0,3,b'6',1,469.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
83.0,2,b'3',2,999.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
85.0,1,b'4',2,2899.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
86.0,1,b'9',2,2999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
88.0,2,b'8',2,1799.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
88.0,3,b'7',1,3999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
89.0,1,b'5',1,1320.99,0.05,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
89.0,2,b'6',2,469.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
90.0,1,b'3',1,999.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
90.0,2,b'6',1,469.99,0.07,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
92.0,1,b'8',1,1799.99,0.1,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
93.0,4,b'2',1,749.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
94.0,2,b'4',1,2899.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
95.0,3,b'8',2,1799.99,0.2,1714563465.450598,SQL-Server,2025-12-01T02:39:49.121714,order_items.csv
